pirate,Пират,海盗,pirát,pirat,piraat,merirosvo,pirate,Pirat,πειρατής,समुद्री डाकू,kalóz,pirata,海賊,해적,sjørøver,pirat,pirata,ਸਮੁੰਦਰੀ ਡਾਕੂ,pirat,пират,pirata,pirat,โจรสลัด,korsan,пірат,cướp biển
ritual,ритуал,仪式,rituál,ritual,ritueel,rituaali,rituel,Ritual,τελετουργία,धार्मिक संस्कार,szertartás,rituale,儀式,의례,ritual,rytuał,ritual,ਰਸਮ,ritual,ритуал,ritual,ritual,พิธีกรรม,ritüel,ритуал,nghi thức
railgun,Railgun,铁路枪,Railgun,Railgun,spiegun,rautatie,fer à chenilles,Railgun,σιδηρόδρομος,रेलगुन,vasúti puska,Railgun,Railgun,Railgun,Railgun,Railgun,Railgun,ਰੇਲਗੁਨ,armă de cale ferată,Рейлгун,ferrocarril,järnväg,ปืนไร่,railgun,залізнична зброя,Railgun
shoots faster over the wave,стреля по -бързо над вълната,在波浪上射击更快,střílí rychleji přes vlnu,skyder hurtigere over bølgen,Schiet sneller over de golf,ampuu nopeammin aallon yli,tire plus vite sur la vague,schießt schneller über die Welle,πυροβολεί γρηγορότερα πάνω από το κύμα,लहर पर तेजी से गोली मारता है,gyorsabban lő a hullám felett,spara più velocemente sull'ondata,波の上でより速く撃ちます,파도를 더 빨리 쏴,skyter raskere over bølgen,strzela szybciej nad falą,dispara mais rápido sobre a onda,ਲਹਿਰ 'ਤੇ ਤੇਜ਼ੀ ਨਾਲ ਕਮਤ ਵਧਣੀ,trage mai repede peste val,стреляет быстрее по волне,dispara más rápido sobre la ola,skjuter snabbare över vågen,ยิงเร็วกว่าคลื่น,dalganın üzerinde daha hızlı ateş ediyor,стріляє швидше над хвилею,bắn nhanh hơn trong làn sóng
lmg,lmg,LMG,lmg,lmg,LMG,lmg,LMG,lmg,LMG,एलएमजी,LMG,LMG,LMG,LMG,LMG,LMG,lmg,lmg,LMG,LMG,lmg,lmg,LMG,LMG,LMG,LMG
shoots rapid projectiles at air enemies,стреля с бързи снаряди на въздушни врагове,在空中敌人射击快速弹丸,střílí rychlé projektily na nepřátele vzduchu,Skyder hurtige projektiler mod luftfjender,Schiet snelle projectielen op bij luchtvijanden,ampuu nopeita ammuksia ilmavihollisissa,tire des projectiles rapides à Air Enemies,Schießen Sie schnelle Projektile bei Air Enemies,Πυροβολεί ταχεία βλήματα στους εχθρούς αέρα,हवाई दुश्मनों पर तेजी से प्रोजेक्टाइल शूट करता है,Gyors lövedékeket lő a légi ellenségeknél,spara proiettili rapidi su Air Nemies,敵で迅速な発射体を撃ちます,공기 적의 빠른 발사체를 촬영합니다,skyter raske prosjektiler mot luftfiender,Szybkie pociski u wrogów powietrznych,atira projéteis rápidos em inimigos aéreos,ਹਵਾ ਦੇ ਦੁਸ਼ਮਣਾਂ 'ਤੇ ਰੈਪਿਡ ਪ੍ਰੋਜੈਕਟਾਂ ਨੂੰ ਕਮਤ ਵਧਾਓ,Trage proiectile rapide la dușmani aerieni,Стреляет быстрые снаряды у воздушных врагов,Dispara proyectiles rápidos a los enemigos de aire,Skottar snabba projektiler vid luftfiender,ยิงขีปนาวุธอย่างรวดเร็วที่ศัตรูทางอากาศ,Air düşmanlarında hızlı mermiler çekiyor,стріляє швидкими снарядами у повітряних ворогів,bắn nhanh các viên đạn vào không khí kẻ thù
metropolis,Метрополис,都会,metropole,Metropolis,metropolis,metropoli,métropole,Metropole,μητρόπολη,महानगर,világváros,metropoli,大都市,중심지,Metropolis,metropolia,metrópole,metroopolis,metropolă,мегаполис,metrópoli,metropol,เมืองใหญ่,metropol,мегаполіс,đô thị
does extra damage for each adjacent tower,прави допълнителни щети за всяка съседна кула,每个相邻塔会额外损坏,způsobuje další poškození pro každou sousední věž,Gør ekstra skader for hvert tilstødende tårn,doet extra schade voor elke aangrenzende toren,Onko ylimääräisiä vaurioita jokaisesta viereisestä tornista,fait des dégâts supplémentaires pour chaque tour adjacente,verursacht zusätzlichen Schaden für jeden benachbarten Turm,κάνει επιπλέον ζημιά για κάθε γειτονικό πύργο,प्रत्येक आसन्न टॉवर के लिए अतिरिक्त क्षति करता है,extra károkat okoz minden szomszédos torony számára,Fa danni extra per ogni torre adiacente,隣接する各タワーに追加のダメージを与えます,인접한 각 타워에 대해 추가 피해를 입 힙니다,gjør ekstra skade for hvert tilstøtende tårn,wyrządza dodatkowe obrażenia dla każdej sąsiedniej wieży,causar danos extras para cada torre adjacente,ਹਰੇਕ ਨਾਲ ਲੱਗਦੇ ਟਾਵਰ ਲਈ ਵਾਧੂ ਨੁਕਸਾਨ ਕਰਦਾ ਹੈ,face daune suplimentare pentru fiecare turn adiacent,наносит дополнительный ущерб для каждой соседней башни,hace daño adicional para cada torre adyacente,gör extra skador för varje angränsande torn,สร้างความเสียหายเพิ่มเติมสำหรับหอคอยแต่ละแห่งที่อยู่ติดกัน,Her bitişik kule için ekstra hasar verir,робить додаткові пошкодження для кожної сусідньої вежі,có thêm thiệt hại cho mỗi tòa tháp liền kề
moneybag,Портфейл,钱包,Peněženka,Pung,Portemonnee,Lompakko,Portefeuille,Geldbörse,Πορτοφόλι,बटुआ,Pénztárca,Portafoglio,財布,지갑,Lommebok,Portfel,Carteira,ਬਟੂਆ,Portofel,Кошелек,Billetera,Plånbok,กระเป๋าสตางค์,Cüzdan,Гаманець,Cái ví
gains extra gold during a wave,придобива допълнително злато по време на вълна,波浪中获得额外的黄金,získává navíc zlato během vlny,får ekstra guld under en bølge,wint extra goud tijdens een golf,Saa ylimääräistä kultaa aallon aikana,gagne de l'or supplémentaire pendant une vague,Gewinne während einer Welle zusätzliches Gold,κερδίζει επιπλέον χρυσό κατά τη διάρκεια ενός κύματος,एक लहर के दौरान अतिरिक्त सोना हासिल करता है,extra aranyat nyer egy hullám alatt,guadagna oro extra durante un'ondata,波の間に余分な金を獲得します,파도에서 여분의 금을 얻습니다,får ekstra gull under en bølge,zyskuje dodatkowe złoto podczas fali,ganha ouro extra durante uma onda,ਇੱਕ ਲਹਿਰ ਦੇ ਦੌਰਾਨ ਵਾਧੂ ਸੋਨਾ ਪ੍ਰਾਪਤ ਕਰਦਾ ਹੈ,Câștigă aur în plus în timpul unui val,получает дополнительное золото во время волны,Obtiene oro extra durante una ola,får extra guld under en våg,ได้รับทองคำพิเศษระหว่างคลื่น,Bir dalga sırasında ekstra altın kazanır,отримує зайве золото під час хвилі,đạt được thêm vàng trong một làn sóng
